epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.2918666666666667,1.5761094446455102,0.001,0.274,1.5721594875328155
2,0.31519999999999987,1.5512600740582638,0.001,0.278,1.5740915957438673
3,0.3217333333333333,1.5399045843913992,0.001,0.282,1.5630571940035014
4,0.3104,1.5510372882081487,0.001,0.31,1.5514402931386018
5,0.3087999999999999,1.545274306602912,0.001,0.324,1.5587503087505605
6,0.3194666666666666,1.5408305146714418,0.001,0.298,1.5693420182750781
7,0.3381333333333332,1.52320874203573,0.001,0.262,1.5997963587132686
8,0.3138666666666666,1.5457289143429378,0.001,0.306,1.5607975395009517
9,0.30906666666666666,1.546393164788317,0.001,0.284,1.5519714421466837
10,0.3190666666666665,1.5477961913621032,0.001,0.312,1.554332310699909
11,0.30893333333333334,1.5427387738028215,0.001,0.286,1.5736358879195096
12,0.32346666666666674,1.5405595332277031,0.001,0.338,1.522556746302027
13,0.3330666666666668,1.5286953730103665,0.001,0.296,1.5496815331121216
14,0.32426666666666665,1.5375598996817164,0.001,0.32,1.5345751071795075
15,0.33586666666666676,1.5260215810670428,0.001,0.326,1.541082489463309
16,0.3485333333333333,1.5166141520692953,0.001,0.302,1.5336799891533852
17,0.3081333333333333,1.5470194198988145,0.001,0.34,1.5512766534076146
18,0.3354666666666667,1.5289530197757792,0.001,0.3,1.5418385588734143
19,0.3153333333333333,1.5376484784771036,0.001,0.308,1.5358956951228295
20,0.32533333333333336,1.5324312818298338,0.001,0.332,1.5388875988938078
21,0.32306666666666667,1.5305261526801055,0.001,0.316,1.5427829417334604
22,0.3210666666666668,1.532777438845393,0.001,0.302,1.5591741392994365
23,0.3328,1.5292363439594456,0.001,0.314,1.5454230807026665
24,0.322,1.5370809290791458,0.001,0.288,1.5435730495771571
25,0.3234666666666666,1.5331311917659318,0.001,0.288,1.538143321583872
26,0.3370666666666666,1.5193177477867308,0.001,0.314,1.5257179639342981
27,0.3385333333333333,1.528297913759779,0.001,0.294,1.530664310696482
28,0.35079999999999983,1.5125714101325642,0.001,0.326,1.5309953968070968
29,0.32319999999999993,1.532273139947161,0.001,0.316,1.5399119914233028
30,0.32933333333333337,1.5262144517468783,0.001,0.302,1.5526860517395322
31,0.3503999999999998,1.5094678010168834,0.001,0.332,1.5527799284474433
32,0.34413333333333346,1.5194164477600587,0.001,0.3,1.5545747914197836
33,0.34586666666666666,1.513266022592839,0.001,0.276,1.5598845323510242
34,0.3392,1.5189610252641157,0.001,0.322,1.5369125816529507
35,0.35386666666666655,1.496832173433491,0.001,0.348,1.52430826967167
36,0.34800000000000003,1.5136465608233685,0.001,0.316,1.5203914058531645
37,0.3396,1.5190072516458113,0.001,0.32,1.5350895011045484
38,0.33839999999999976,1.5268456835184951,0.001,0.326,1.5222177831602752
39,0.3466666666666666,1.5106145437659106,0.001,0.31,1.5440108924175049
40,0.3363999999999999,1.5239220466377228,0.001,0.294,1.5527484534040106
41,0.3477333333333334,1.509959603276502,0.001,0.336,1.5306237108286511
42,0.3609333333333334,1.4959048016098315,0.001,0.326,1.5332820940907146
43,0.3333333333333332,1.5245400940114473,0.001,0.326,1.5368903331329868
44,0.34666666666666646,1.511874223125572,0.001,0.306,1.551489081091785
45,0.35999999999999993,1.5045583489466643,0.001,0.332,1.5337325376999935
46,0.3442666666666666,1.5142321677789083,0.001,0.34,1.516272415957713
47,0.3625333333333333,1.501222146781757,0.001,0.38,1.5039046894837884
48,0.33906666666666674,1.5151499683208334,0.001,0.316,1.542423268259465
49,0.34173333333333333,1.5186724200852624,0.001,0.32,1.559998676899974
50,0.33799999999999997,1.5192785392081223,0.001,0.34,1.5171946919909058
51,0.3562666666666668,1.5109826262454076,0.001,0.336,1.5237768175496724
52,0.3434666666666666,1.5174681361435587,0.001,0.292,1.5454468795017342
53,0.3288,1.5375499560923287,0.001,0.368,1.5126895798424467
54,0.34493333333333326,1.5138621223392952,0.001,0.322,1.5307084071190202
55,0.3561333333333334,1.5030117040148931,0.001,0.36,1.5178409277091898
56,0.3638666666666665,1.5026960414695225,0.001,0.368,1.5089053694890047
57,0.33893333333333325,1.5193651724092556,0.001,0.35,1.5185195478700817
58,0.3542666666666666,1.5039265842093494,0.001,0.322,1.5272147944908043
59,0.3586666666666665,1.4985102164229684,0.001,0.318,1.5257954563910274
60,0.35626666666666673,1.5025972581383238,0.001,0.366,1.499594495706369
61,0.35613333333333336,1.507196822075886,0.001,0.318,1.539559670825738
62,0.3652000000000001,1.4983836589687913,0.001,0.296,1.546330696567844
63,0.34853333333333325,1.5094640139064213,0.001,0.358,1.514766586751415
