epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.28626666666666667,12.80401389512193,0.001,0.258,13.370775879410449
2,0.2666666666666668,12.422267681793079,0.001,0.216,12.926017806477669
3,0.2605333333333333,7.477712459948117,0.001,0.252,4.357351569648011
4,0.26120000000000004,5.022514295443901,0.001,0.248,4.0583624276775465
5,0.2764,4.166138826340166,0.001,0.25,3.2915493183109965
6,0.3058666666666666,3.359851657765256,0.001,0.286,2.641225201890613
7,0.2879999999999999,3.55429402517106,0.001,0.282,2.059686502409438
8,0.2914666666666667,2.654497174664119,0.001,0.274,2.350990028817823
9,0.3009333333333333,2.9102082320652034,0.001,0.284,2.0843833565323635
10,0.30080000000000007,2.185945930239856,0.001,0.304,1.5481168652405835
11,0.32813333333333333,1.5390273266746204,0.001,0.282,1.5573965046606313
12,0.3081333333333333,1.5560471379233922,0.001,0.344,1.5413804436497573
13,0.3131999999999999,1.5534420049805848,0.001,0.308,1.5631011538024
14,0.30560000000000015,1.5411447829871208,0.001,0.29,1.5563567149208721
15,0.3107999999999999,1.5354571614805215,0.001,0.282,1.5571356402692047
16,0.3139999999999999,1.5419380620175929,0.001,0.3,1.5558327035055048
17,0.3074666666666667,1.5442230856044983,0.001,0.31,1.5376032868056793
18,0.31626666666666653,1.5400492507895975,0.001,0.334,1.532666126756133
19,0.3297333333333332,1.523917903429135,0.001,0.278,1.5618681805080419
20,0.3145333333333332,1.543301094865389,0.001,0.308,1.5515104755645737
21,0.32533333333333325,1.5308200790856117,0.001,0.318,1.5583125691168487
22,0.34479999999999983,1.5056505362422246,0.001,0.288,1.5885733307415484
23,0.3298666666666666,1.5316370299743358,0.001,0.298,1.558961529107414
24,0.32506666666666667,1.539033363614489,0.001,0.312,1.5405964379451826
25,0.3337333333333333,1.5263730400013682,0.001,0.342,1.5225909919205052
26,0.3309333333333334,1.5188613739449865,0.001,0.34,1.5052896896647017
27,0.3464000000000001,1.499141200656081,0.001,0.318,1.5075222792936076
28,0.3400000000000001,1.514627516470684,0.001,0.312,1.541349261718478
29,0.3296,1.5155974592886325,0.001,0.318,1.522363544590924
30,0.34293333333333315,1.5123816834913637,0.001,0.3,1.5492238471104944
31,0.3624000000000001,1.4841718951631022,0.001,0.318,1.5174917794958709
32,0.3394666666666666,1.5231679857368758,0.001,0.32,1.5172737601605888
33,0.3358666666666666,1.5192805342088374,0.0005,0.378,1.4806251489688849
34,0.36160000000000003,1.480551453002123,0.0005,0.34,1.5038770797833518
35,0.35106666666666664,1.4999393274793837,0.0005,0.346,1.5005473315022453
36,0.3713333333333334,1.4715595362714637,0.0005,0.356,1.510182575105647
37,0.3673333333333332,1.4739280636556162,0.0005,0.338,1.4972898521057552
38,0.3646666666666668,1.4796590842211734,0.0005,0.314,1.5515415846102196
39,0.35946666666666666,1.4963639184798023,0.0005,0.32,1.5189318250095114
40,0.37466666666666676,1.4573415557696339,0.0005,0.358,1.4890669699959793
41,0.35213333333333324,1.4852924898388817,0.0005,0.37,1.4889560885830477
42,0.3684000000000001,1.4740145240429587,0.0005,0.37,1.4850660315639097
43,0.38013333333333327,1.456319390768789,0.0005,0.366,1.4721269851529175
44,0.36626666666666663,1.4818958251617886,0.0005,0.362,1.5009617985843717
45,0.3757333333333333,1.4544183024394624,0.0005,0.334,1.4872014262633912
